HMM model,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
Yes,Bemisia tabaci,Hemiptera,Aleyrodidae,GCA_001854935.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Oncopeltus fasciatus,Hemiptera,Lygaeidae,GCA_000696205.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Rhodnius prolixus,Hemiptera,Reduviidae,GCA_000181055.3,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Myzus persicae,Hemiptera,Aphididae,GCA_001856785.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Diuraphis noxia,Hemiptera,Aphididae,GCA_001938505.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Acyrthosiphon pisum,Hemiptera,Aphididae,GCA_000142985.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Cimex lectularius,Hemiptera,Cimicidae,GCA_001460545.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Cimex hemipterus,Hemiptera,Cimicidae,GCA_001663875.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Pachypsylla venusta,Hemiptera,Psyllidae,GCA_000695645.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Diaphorina citri,Hemiptera,Psyllidae,GCA_000475195.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Homalodisca vitripennis,Hemiptera,Cicadellidae,GCA_000696855.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Paracoccus marginatus,Hemiptera,Pseudococcidae,GCA_900065295.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Ferrisia virgata,Hemiptera,Pseudococcidae,GCA_900060175.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Trionymus perrisii,Hemiptera,Pseudococcidae,GCA_900050545.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Pseudococcus longispinus,Hemiptera,Pseudococcidae,GCA_900064475.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Maconellicoccus hirsutus,Hemiptera,Pseudococcidae,GCA_900064465.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Trabutina mannipara,Hemiptera,Pseudococcidae,GCA_900080175.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Nilaparvata lugens,Hemiptera,Delphacidae,GCA_000757685.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Gerris buenoi,Hemiptera,Gerridae,GCA_001010745.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Dactylopius coccus,Hemiptera,Dactylopiidae,GCA_000833685.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Halyomorpha halys,Hemiptera,Pentatomidae,GCA_000696795.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Piezodorus guildinii,Hemiptera,Pentatomidae,GCA_000786065.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Diachasma alloeum,Hymenoptera,Braconidae,GCA_001412515.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Cotesia vestalis,Hymenoptera,Braconidae,GCA_001675545.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Microplitis demolitor,Hymenoptera,Braconidae,GCA_000572035.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Fopius arisanus,Hymenoptera,Braconidae,GCA_000806365.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Nasonia longicornis,Hymenoptera,Pteromalidae,GCA_000004795.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Nasonia giraulti,Hymenoptera,Pteromalidae,GCA_000004775.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Nasonia vitripennis,Hymenoptera,Pteromalidae,GCA_000002325.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
No,Polistes canadensis,Hymenoptera,Vespidae,GCA_001313835.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
No,Polistes dominula,Hymenoptera,Vespidae,GCA_001465965.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bombus terrestris,Hymenoptera,Apidae,GCA_000214255.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Habropoda laboriosa,Hymenoptera,Apidae,GCA_001263275.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Melipona quadrifasciata,Hymenoptera,Apidae,GCA_001276565.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Apis mellifera intermissa,Hymenoptera,Apidae,GCA_000819425.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bombus impatiens,Hymenoptera,Apidae,GCA_000188095.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Apis dorsata,Hymenoptera,Apidae,GCA_000469605.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Ceratina calcarata,Hymenoptera,Apidae,GCA_001652005.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Eufriesea mexicana,Hymenoptera,Apidae,GCA_001483705.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Apis florea,Hymenoptera,Apidae,GCA_000184785.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Apis cerana,Hymenoptera,Apidae,GCA_001442555.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Apis mellifera,Hymenoptera,Apidae,GCA_000002195.1,N/A,No,No,Yes,Yes,No,'''Check GFF3 annotations'''
Yes,Trichogramma pretiosum,Hymenoptera,Trichogrammatidae,GCA_000599845.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Cephus cinctus,Hymenoptera,Cephidae,GCA_000341935.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Orussus abietinus,Hymenoptera,Orussidae,GCA_000612105.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Athalia rosae,Hymenoptera,Tenthredinidae,GCA_000344095.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Copidosoma floridanum,Hymenoptera,Encyrtidae,GCA_000648655.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Pogonomyrmex barbatus,Hymenoptera,Formicidae,GCA_000187915.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Vollenhovia emeryi,Hymenoptera,Formicidae,GCA_000949405.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Monomorium pharaonis,Hymenoptera,Formicidae,GCA_000980195.3,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Trachymyrmex septentrionalis,Hymenoptera,Formicidae,GCA_001594115.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Solenopsis invicta,Hymenoptera,Formicidae,GCA_000188075.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Acromyrmex echinatior,Hymenoptera,Formicidae,GCA_000204515.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Harpegnathos saltator,Hymenoptera,Formicidae,GCA_000147195.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Lasius niger,Hymenoptera,Formicidae,GCA_001045655.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Pseudomyrmex gracilis,Hymenoptera,Formicidae,GCA_002006095.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Atta colombica,Hymenoptera,Formicidae,GCA_001594045.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Linepithema humile,Hymenoptera,Formicidae,GCA_000217595.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Cyphomyrmex costatus,Hymenoptera,Formicidae,GCA_001594065.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Cerapachys biroi,Hymenoptera,Formicidae,GCA_000611835.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Trachymyrmex cornetzi,Hymenoptera,Formicidae,GCA_001594075.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Dinoponera quadriceps,Hymenoptera,Formicidae,GCA_001313825.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Atta cephalotes,Hymenoptera,Formicidae,GCA_000143395.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Trachymyrmex zeteki,Hymenoptera,Formicidae,GCA_001594055.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Camponotus floridanus,Hymenoptera,Formicidae,GCA_000147175.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Wasmannia auropunctata,Hymenoptera,Formicidae,GCA_000956235.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Leptopilina clavipes,Hymenoptera,Figitidae,GCA_001855655.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Neodiprion lecontei,Hymenoptera,Diprionidae,GCA_001263575.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Ceratosolen solmsi marchali,Hymenoptera,Agaonidae,GCA_000503995.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Dufourea novaeangliae,Hymenoptera,Halictidae,GCA_001272555.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Yes,Lasioglossum albipes,Hymenoptera,Halictidae,GCA_000346575.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Megachile rotundata,Hymenoptera,Megachilidae,GCA_000220905.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Clunio marinus,Diptera,Chironomidae,GCA_900005825.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Belgica antarctica,Diptera,Chironomidae,GCA_000775305.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Chironomus riparius,Diptera,Chironomidae,GCA_001014505.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Chironomus tentans,Diptera,Chironomidae,GCA_000786525.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles farauti,Diptera,Culicidae,GCA_000956265.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles minimus,Diptera,Culicidae,GCA_000349025.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles funestus,Diptera,Culicidae,GCA_000349085.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles epiroticus,Diptera,Culicidae,GCA_000349105.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles culicifacies,Diptera,Culicidae,GCA_000473375.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles christyi,Diptera,Culicidae,GCA_000349165.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles quadriannulatus,Diptera,Culicidae,GCA_000349065.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles melas,Diptera,Culicidae,GCA_000473525.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles nili,Diptera,Culicidae,GCA_000439205.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles coluzzii,Diptera,Culicidae,GCA_000150765.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Aedes aegypti,Diptera,Culicidae,GCA_001014885.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles merus,Diptera,Culicidae,GCA_000473845.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles punctulatus,Diptera,Culicidae,GCA_000956255.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles stephensi,Diptera,Culicidae,GCA_000349045.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles koliensis,Diptera,Culicidae,GCA_000956275.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles gambiae,Diptera,Culicidae,GCA_001014525.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles dirus,Diptera,Culicidae,GCA_000349145.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles farauti No. 4,Diptera,Culicidae,GCA_000956215.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Aedes albopictus,Diptera,Culicidae,GCA_001574995.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Anopheles albimanus,Diptera,Culicidae,GCA_000349125.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles atroparvus,Diptera,Culicidae,GCA_000473505.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Culex quinquefasciatus,Diptera,Culicidae,GCA_000209185.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles arabiensis,Diptera,Culicidae,GCA_000349185.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles sinensis,Diptera,Culicidae,GCA_000472065.2,Yes,No,Yes,Yes,No,No,Oskar already known in this genome
,Anopheles darlingi,Diptera,Culicidae,GCA_000211455.3,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Anopheles gambiae str. PEST,Diptera,Culicidae,GCA_000005575.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Anopheles maculatus,Diptera,Culicidae,GCA_000473185.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Phlebotomus papatasi,Diptera,Psychodidae,GCA_000262795.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Clogmia albipunctata,Diptera,Psychodidae,GCA_001014945.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Lutzomyia longipalpis,Diptera,Psychodidae,GCA_000265325.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bactrocera cucurbitae,Diptera,Tephritidae,GCA_000806345.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bactrocera oleae,Diptera,Tephritidae,GCA_001014625.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Tephritis californica,Diptera,Tephritidae,GCA_001017515.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bactrocera tryoni,Diptera,Tephritidae,GCA_000695345.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Bactrocera dorsalis,Diptera,Tephritidae,GCA_000789215.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Eutreta diana,Diptera,Tephritidae,GCA_001015115.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Bactrocera latifrons,Diptera,Tephritidae,GCA_001853355.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Ceratitis capitata,Diptera,Tephritidae,GCA_000347755.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Trupanea jonesi,Diptera,Tephritidae,GCA_001014665.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Rhagoletis zephyria,Diptera,Tephritidae,GCA_001687245.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila erecta,Diptera,Drosophilidae,GCA_000005135.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila grimshawi,Diptera,Drosophilidae,GCA_000005155.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Scaptodrosophila lebanonensis,Diptera,Drosophilidae,GCA_001014445.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
Yes,Drosophila melanogaster,Diptera,Drosophilidae,GCA_001014345.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila miranda,Diptera,Drosophilidae,GCA_001014365.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila pseudoobscura pseudoobscura,Diptera,Drosophilidae,GCA_000149495.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Phortica variegata,Diptera,Drosophilidae,GCA_001014415.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila yakuba,Diptera,Drosophilidae,GCA_000005975.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila virilis,Diptera,Drosophilidae,GCA_000004125.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila takahashii,Diptera,Drosophilidae,GCA_000224235.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila pseudoobscura,Diptera,Drosophilidae,GCA_001014495.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila rhopaloa,Diptera,Drosophilidae,GCA_000236305.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila bipectinata,Diptera,Drosophilidae,GCA_000236285.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila eugracilis,Diptera,Drosophilidae,GCA_000236325.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila busckii,Diptera,Drosophilidae,GCA_001014355.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila willistoni,Diptera,Drosophilidae,GCA_000005925.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila arizonae,Diptera,Drosophilidae,GCA_001654025.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila albomicans,Diptera,Drosophilidae,GCA_001014995.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila ananassae,Diptera,Drosophilidae,GCA_000005115.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila suzukii,Diptera,Drosophilidae,GCA_000326985.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila kikkawai,Diptera,Drosophilidae,GCA_000224215.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila americana,Diptera,Drosophilidae,GCA_001245305.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Zaprionus indianus,Diptera,Drosophilidae,GCA_001752445.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila biarmipes,Diptera,Drosophilidae,GCA_000233415.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila ficusphila,Diptera,Drosophilidae,GCA_000220665.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila elegans,Diptera,Drosophilidae,GCA_000224195.2,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila persimilis,Diptera,Drosophilidae,GCA_000005195.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila navojoa,Diptera,Drosophilidae,GCA_001654015.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Drosophila mojavensis,Diptera,Drosophilidae,GCA_000005175.1,Yes,Yes,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila sechellia,Diptera,Drosophilidae,GCA_000525085.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Drosophila simulans,Diptera,Drosophilidae,GCA_000525065.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
Yes,Musca domestica,Diptera,Muscidae,GCA_000371365.1,Yes,No,Yes,Yes,Yes,No,Oskar already known in this genome
,Stomoxys calcitrans,Diptera,Muscidae,GCA_001015335.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Lucilia sericata,Diptera,Calliphoridae,GCA_001014835.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Phormia regina,Diptera,Calliphoridae,GCA_001735585.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Calliphora vicina,Diptera,Calliphoridae,GCA_001017275.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Lucilia cuprina,Diptera,Calliphoridae,GCA_000699065.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Neobellieria bullata,Diptera,Sarcophagidae,GCA_001017455.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Sarcophagidae sp. BV-2014,Diptera,Sarcophagidae,GCA_001047195.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina morsitans,Diptera,Glossinidae,GCA_001014515.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina pallidipes,Diptera,Glossinidae,GCA_000688715.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Glossina palpalis gambiensis,Diptera,Glossinidae,GCA_000818775.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina brevipalpis,Diptera,Glossinidae,GCA_000671755.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina morsitans morsitans,Diptera,Glossinidae,GCA_001077435.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina austeni,Diptera,Glossinidae,GCA_000688735.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Glossina fuscipes fuscipes,Diptera,Glossinidae,GCA_000671735.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Mayetiola destructor,Diptera,Cecidomyiidae,GCA_001014435.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Eristalis dimidiata,Diptera,Syrphidae,GCA_001015145.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Hermetia illucens,Diptera,Stratiomyidae,GCA_001014895.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Megaselia abdita,Diptera,Phoridae,GCA_001015175.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Megaselia scalaris,Diptera,Phoridae,GCA_000341915.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Tipula oleracea,Diptera,Tipulidae,GCA_001017535.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Chaoborus trivitattus,Diptera,Chaoboridae,GCA_001014815.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Mochlonyx cinctipes,Diptera,Chaoboridae,GCA_001014845.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Cirrula hians,Diptera,Ephydridae,GCA_001015075.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Ephydra gracilis,Diptera,Ephydridae,GCA_001014675.1,N/A,No,No,No,Yes,No,Use GeneMark + Exonerate + Evidence Modeller + Augustus
,Holcocephala fusca,Diptera,Asilidae,GCA_001015215.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Proctacanthus coquilletti,Diptera,Asilidae,GCA_001932985.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Trichoceridae sp. BV-2014,Diptera,Trichoceridae,GCA_001014425.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Coboldia fuscipes,Diptera,Scatopsidae,GCA_001014335.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Condylostylus patibulatus,Diptera,Dolichopodidae,GCA_001014875.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Liriomyza trifolii,Diptera,Agromyzidae,GCA_001014935.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Themira minor,Diptera,Sepsidae,GCA_001014575.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Teleopsis dalmanni,Diptera,Diopsidae,GCA_001017525.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Sphyracephala brevicornis,Diptera,Diopsidae,GCA_001015235.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Bombyx mori,Lepidoptera,Bombycidae,GCA_000325555.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Spodoptera frugiperda,Lepidoptera,Noctuidae,GCA_000753635.2,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Pieris rapae,Lepidoptera,Pieridae,GCA_001856805.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Phoebis sennae,Lepidoptera,Pieridae,GCA_001586405.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Manduca sexta,Lepidoptera,Sphingidae,GCA_000262585.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Amyelois transitella,Lepidoptera,Pyralidae,GCA_001186105.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Papilio polytes,Lepidoptera,Papilionidae,GCA_000836215.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Papilio machaon,Lepidoptera,Papilionidae,GCA_001298355.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Papilio glaucus,Lepidoptera,Papilionidae,GCA_000931545.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
Yes,Papilio xuthus,Lepidoptera,Papilionidae,GCA_001298345.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Yes,Calycopis cecrops,Lepidoptera,Lycaenidae,GCA_001625245.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius numata tarapotensis,Lepidoptera,Nymphalidae,GCA_001486745.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius melpomene aglaope,Lepidoptera,Nymphalidae,GCA_001486105.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
,Heliconius melpomene malleti,Lepidoptera,Nymphalidae,GCA_001510935.1,N/A,No,Yes,Yes,Yes,No,Check GFF3 annotations
